Address,Unit Number,Price,Status,Description,Bathroom Count,Bedroom Count,Property Type,Square Feet,Total Rooms,Listing Agent 1,Listing Agent 2
287 East Houston St,7C,1295000,Under Contract,"Sales gallery is located at 123 Essex Street, 2nd floor. Residence 7C is a thoughtfully designed one bedroom with an open southern exposure, open skyline views and beautiful light thru floor to ceiling windows.  With airy 10 ceilings, the living area offers a comfortable space to relax and entertain.  The open kitchen, with dining bar, will please all cooks and  features Alta custom Italian cabinetry topped with honed Carrara marble counters  and slab backsplash and a full complement of  Meile appliances.   The sunny master bedroom boasts a generous walk in closet and ensuite master bath.  The bath is spa-like with a custom vanity, heated floors, walls finished in Bianco Dolomite marble tile and a luxurious, glass enclosed shower with walls and floor in Gray Danube marble tiles and slab.  Completing this home are 7 whitewashed oak floors, a Meile washer and dryer and ample closets.  Building amenities include a part-time doorman with virtual doorman technology, a fitness center, a landscaped common roof terrace with outdoor kitchen, bike storage, supplemental laundry and private storage (for purchase). Located on East Houston Street between Clinton and Suffolk streets, 287 East Houston is situated in the heart of the Lower East Side and is convenient to the best shopping, restaurants, galleries and nightlife.  Public transportation is nearby with the F,M, J, Z, B and D subways all easily accessible.  Occupancy is anticipated for early 2018.  (The monthly common charges stated reflect a 3-year subsidy paid by the sponsor.)The Sales Gallery is located at 123 Essex Street, between Rivington and Delancey Streets.  All showings are by appointment.  The complete offering terms are in an offering plan available from the sponsor. File No CD15-0389. Sponsor: 287 LES JV, LLC, 535 Madison Avenue, 37th Fl, NY, NY 10022",1,1,Condo,624,3,jessica.johnson@corciman.com,marie.nathanson@corciman.com
287 East Houston St,8B,2750000,Under Contract,"Sales Gallery is located at 123 Essex Street, 2nd Floor. Residence 8B is a brilliantly designed two bedroom and two bath floor thru with 236sf  terrace showcasing open southern, northern and eastern exposures and beautiful light thru floor to ceiling windows.  With airy 10 ceilings, the living/dining area faces north and east, showcasing amazing city skyline views and offers a comfortable space to entertain and relax.  The open kitchen, with dining bar, is a cooks delight and features Alta custom Italian cabinetry topped with honed Carrara marble counters and slab backsplash and a full complement of  Miele appliances. The bright, south facing master bedroom boasts  a generous walk in closet and ensuite master bath.  The master bath is spa-like with a custom double sink vanity, heated floors, walls finished in Bianco Dolomite marble tile and a luxurious, glass enclosed shower with walls and floor in Gray Danube marble tiles and slab. The second bath is finished with oversized porcelain tiles for both walls and floors, a custom vanity and 56 tub with shower.    Completing this home are 7 whitewashed oak floors, a Miele washer and dryer and ample closets.  Building amenities include a part-time doorman with virtual doorman technology, a fitness center, a landscaped common roof terrace with outdoor kitchen, bike storage, supplemental laundry and private storage (for purchase). Located on East Houston Street between Clinton and Suffolk streets, 287 East Houston is situated in the heart of the Lower East Side and is convenient to the best shopping, restaurants, galleries and nightlife.  Public transportation is nearby with the F,M, J, Z, B and D subways all easily accessible.  Occupancy is anticipated for early 2018.  (The monthly common charges stated reflect a 3-year subsidy paid by the sponsor.)The Sales Gallery is located at 123 Essex Street, between Rivington and Delancey Streets.  All showings are by appointment.  The complete offering terms are in an offering plan available from the sponsor. File No CD15-0389. Sponsor: 287 LES JV, LLC, 535 Madison Avenue, 37th Fl, NY, NY 10022",2,2,Condo,1154,4,jessica.johnson@corciman.com,mario.negron@corciman.com
287 East Houston St,6A,2700000,Perm Off Mkt,"OPEN HOUSE BY APPOINTMENT ONLY SUNDAY, NOVEMBER 5th 1 to 3 PM AT SALES GALLERY. CALL OR EMAIL FOR AN APPOINTMENT.  Sales Gallery is located at 123 Essex Street, 2nd Floor. Please email/call for an appointment. Sales gallery is located at 123 Essex Street, 2nd floor.  Residence 6A is spacious two bedroom and two bath floor thru with open southern and northern exposures with open skyline views and beautiful light thru floor to ceiling windows.  With airy 10 ceilings, the living/dining area faces north and offers a large space to fit several seating areas and dining.  The open kitchen, with dining bar, is a cooks delight and features Alta custom Italian cabinetry topped with Staturiaietto marble counters and slab backsplash and a full complement of Miele appliances. Immediately adjacent is a large laundry/pantry space.    The sunny master bedroom boasts a generous walk in closet and ensuite master bath.  The master bath is spa-like with a custom double sink vanity, heated floors,  walls finished in Bianco Dolomite marble tile and a luxurious, glass enclosed shower with walls and floor in Gray Danube marble tiles and slab. The second bath is finished with oversized porcelain tiles for both walls and floors a custom vanity and 56 tub with shower.  There is also space for a home office separate from both bedrooms.   Completing this home are 5 whitewashed oak floors, a Miele washer and dryer and ample closets.  Building amenities include a part-time doorman with virtual doorman technology, a fitness center, a landscaped common roof terrace with outdoor kitchen, bike storage, supplemental laundry and private storage (for purchase). (The monthly common charges stated reflect a 3-year subsidy paid by the sponsor.)",2,2,Condo,1386,4,jessica.joseph@corciman.com,marisap.neinast@corciman.com
288 18th St,,1500000,Active,"This is your opportunity to own a move in ready 2 family house for 1,500,000! Location, location, location!! Charming and beautiful describe this THREE story Great opportunity house located on 18 street between 5&6 ave! The first floor of this unique home/Garden level  has a small renovated kitchen with a renovated bathroom,hardwood floors through out and gets good light this floor can be easily rented out with an income of 2600/month or combined with the other top 2 floors. The second floor is a renovated living room with high ceilings, two large windows with ample lights, has a renovated kitchen with a dishwasher and a dining room that leads to a deck and access to the garden! . The master bedroom and two other good size rooms take up the whole third floor but it can easily be converted back to two separate bedrooms. The bedroom on the top floor has two skylights, plenty of storage space and another full bathroom. In addition, this home has hardwood floors, plenty of closet space , washer dryer of course. Don't let this opportunity pass you by!This is 16.69x100.17 Lot! Has 2 new kitchens, 2 new bathrooms and can be converted to a one family easy!this is used as a 2 family now, the owner did renovation on this rare find 3 years ago, the boiler and the roof are in Mint condition,",0,0,Townhouse,,,merisg.paula@corciman.com,
289 5th Ave,3,4750,Active,"1400sqft!!! 2 flights up Beautiful completely renovated 3 bedrooms, 1.5 bathroom apartment on trendy 5th Ave, on all the cafes, and restaurants, all the subways! Hardwood floors, really high ceilings, new stainless steel appliances, Huge walking closets!Exposed brick in the living room, washer dryer and dishwasher, very nice views and stunning layout! Call now as this apartment wont last !!!!!!!",2,3,Townhouse,1400,5,nancy.preidel@corciman.com,
289 5th Ave,4,4750,Active,"1400sqft!!! 2 flights up Beautiful completely renovated 3 bedrooms, 1.5 bathroom apartment on trendy 5th Ave, on all the cafes, and restaurants, all the subways! Hardwood floors, really high ceilings, new stainless steel appliances, Huge walking closets!Exposed brick in the living room, washer dryer and dishwasher, very nice views and stunning layout! Call now as this apartment wont last !!!!!!!",2,3,Townhouse,1400,5,nick.rand@corciman.com,
289 Garfield Pl,1R,2975,Active,"+++ MINT DUPLEX, PARK BLOCK!!!!! Upstairs features hardwood floors, modern open-plan kitchen w/dishwasher, living/dining area, one bedroom and one full bath. Spiral staircase leads you to the downstairs which features ceramic and marble flooring, another master bedroom, amazing huge master bath w/oversize Jacuzzi tub, laundry room w/ full size washer/dryer, . Lots of closets throughout, plus exposed brick and 2 decorative fireplace mantles and 1 wood burning fire place. Approx. 1000 square feet! You have to see this truly unique apartment! [Cats on approval, sorry no dogs.] Apartment Features: North exposure, Wood-burning fireplace, Full garden view, Light - good, Washer/dryer, Dishwasher Building Features: Central laundry room",2,2,Condo,,4,marlena.nommaz@corciman.com,
29 East 72nd St,2 FL,16500000,Perm Off Mkt,"Unlimited potential at the epicenter of the Upper East Side!  Situated on the Northeast corner of Madison Avenue and E 72nd Street, this loft-like space encompasses approximately 4,500 square feet and boasts views of Iconic Madison Avenue to the West and tree-lined 72nd Street to the South, through ten over-sized windows. Currently used as an art gallery, this grand, lofty space is accessible from both an elegant private entrance from the street or through the lobby of the highly coveted white-glove cooperative, 31 East 72nd Street.  With wonderful pre-war details including high ceilings, original crown moldings and wood paneling, this space is well-suited for a magnificent residence.",2.5,4,Co-op,4500,10,miriam.piik@corciman.com,
292 Garfield Pl,2,1273500,Sold,"This stunning parlor floor, two-bedroom apartment is full of beautiful period detail and offers its own PRIVATE GARDEN! Wonderfully located a half block from Prospect Park on a quintessential tree-lined street, the apartment features gorgeous woodwork, original pocket doors and shutters, soaring ceilings, hardwood floors, and crown molding throughout. The living room has enormous windows with arched stained glass and a decorative fireplace with the original marble mantel. The renovated kitchen has stainless steel appliances, an under-counter washer and dryer, granite counters, cherry cabinetry, and tons of work and storage space. The roomy bathroom has also been updated with classic finishes and fixtures. Down the hall, complete with built-in bookshelves and a home office area, you'll find the bedrooms. One boasts a decorative fireplace with the original carved wood mantel and tile work, a storage/sleeping loft, and two over-sized south-facing windows which overlook the garden below. The master bedroom has modern walnut built-ins which offer amazing storage, and both southern and western exposure. Outside the master bedroom is lovely sink and vanity area (a 1/4 bath, if you will). The apartment has amazing storage and closet space within, while extra storage can be found in the basement along with a common laundry area. But the piece de resistance is the BEAUTIFULLY LANDSCAPED GARDEN, complete with Ipe fencing, and plenty of room to entertain and enjoy the space. Located in a superbly maintained four-unit brownstone, a block and a half to the 7th Avenue shops and eateries, a stone's throw from Prospect Park, and close to the 2, 3, B and Q subway lines, the location of this apartment is wonderful. Please note a parking space at a nearby garage is also being offered for sale for an additional cost.",1,2,Co-op,,4,lynn.meilus@corciman.com,
293 Lafayette St,PHI,58500000,Temp Off Mkt,"Puck Penthouse Sensation - The Puck Penthouse I is the most exceptional residence one can imagine. This enchanting and significant duplex condominium crests the iconic Puck Building with a history dating back to 1896. The apartment combines the classic charm of the building with a 21st century aesthetic. The journey begins in the Foyer which looks into the Center Hall with skylight and beyond into the spacious, sun-flooded Great Room. This residence has it all, including 4 bedrooms, 7.5 baths, library, gym, media room, staff room, studio, wine cellar, 3 gas fireplaces  and incredibly large and inviting terraces on each level including an outdoor spa . The apartment is flooded with light from floor-to-ceiling and oversized windows and the expansive views are extraordinary.  The finishes throughout are exceptional, including the finest Italian marbles and a state-of-the-art Chefs Kitchen has appliances including La Cornue, Sub-Zero, Wolf and Smeg brands, plus Terrazzo floor, custom white oak cabinetry topped with Italian lava stone in a crackle glaze finish, two-inch-thick honed Arabescatto Oro marble on the center island. Lustrous iridescent glazed ceramic tiles clad the barrel vaulted ceiling, which creates drama. The luxurious Master Suite incorporates a sitting room, 2 dressing rooms, 2 full baths, access to the East Terrace and the Studio which could be a home office or an atelier. The design elements throughout this masterpiece residence are incomparable on every level, including, solid white oak plank floors, Saint-Damase custom millwork and moldings. In addition to these luxe finishes, this home features a state-of-the-art Apple Savant home automation system, double-pane UV-resistant glass windows, and a central Control Room that pilots all A/V wiring throughout. One must walk through this impressive Penthouse to experience it - it is truly luxury living at its finest. The Puck Building is a full service, doorman, boutique condominium for the discreet buyer. Penthouse I is featured as one of NYCs most beautiful homes in Curbeds 11th Annual Awards.",7.5,6,Condo,7241,10,the.wang@corciman.com,fern.gallery@corciman.com
295 Quincy St,,1700000,Sold,"Welcome to 295 Quincy Street, a newly renovated 2 family brick townhome that brings Miami/ Los Angeles living to the border of Clinton Hill/BedStuy. This home features an owners triplex which includes a finished basement and boasts all of the latest modern amenities while showcasing the finest architectural design. Additionally, there is a studio apartment on the ground floor which could be used as an office or a rental unit for supplemental income.Throughout this home, there are brand new electrical systems as well as heating and plumbing, central air, a video security system, an enclosed roof deck with views of the Empire State Building, and for those who are tech savvy, it is also pre-wired for use as a smart home!  Enter the owners triplex through the double-sized wooden door on the parlor floor and step onto the wide European oak floors while admiring the 13ft ceilings. Move through to the airy open kitchen/dining room embellished with recessed lighting, top of the line Wolf & Subzero stainless steel appliances as you enter the chefs kitchen, which has a unique deluxe wooden island wrapped in Carrera stone. The island holds a Bosch dishwasher concealed in continuous wood with a wine rack, oversize dual sink, Wolf hood, and enough counter space for the most experienced chef. This magnificent space ends in a glass enclosure overlooking 24 feet of floor to ceiling windows with a set of glass double doors which leads out to your own private deck above the yard.  Step down the floating stair case to the entertainment/living area, where there is a beautiful brick fire place/mantel waiting for you to decorate with your personal touch. This loft like double height windowed level also leads out to a large and inviting back yard space. On the upper level, there are 4 bedrooms that can easily fit queen size bed sets, while the enormous master bedroom boasts enough room for a California King sized bed set with a spa like en-suite bathroom, walled off by frosted glass. Inside you will find his/her dual sink, a rain shower with a sliding glass border that separates the large deep soaking tub.  This home is conveniently located near both the A & C express train at Nostrand Avenue station as well as the G train at Bedford- Nostrand. The area is also home to famous Dough Donuts, Speedy Romeos, Bedford Hall, Saraghina, Eugene & Co, to name just a few, but with new restaurants opening daily, your new chefs kitchen might have competition.",0,0,Townhouse,0,,monica.pisa@corciman.com,
296 MANHATTAN AVE,,1495000,Sold,"An amazing opportunity to own a piece of Williamsburg on one of the most desirable residential blocks is here. This 2 family townhouse is set up as 2 duplexes - a true rare find! The garden duplex has a large open floor plan as you enter the gracious living room & eat-in kitchen that has been renovated featuring wood cabinetry, stainless steel appliances & stone countertops. The kitchen leads out to a patio garden including a large storage shed. The upper level of this garden duplex has 2 bedrooms, a home office and a windowed bathroom.The upper duplex also has a very generous layout starting with an open living room & eat-in kitchen leading out to a terrace. There is a staircase from this terrace leading down to the garden should the owner decide to live on the upper duplex. This level also has a windowed  bath and a fantastic light filled space that is used as a bedroom. The upper level contains 2 additional bedrooms, a huge storage closet & another windowed bathroom.The entire property is renovated, well cared for and is in move-in condition. The hallmark of this Williamsburg townhouse is its flexible usage. It can be used in its current condition as an owner duplex with a high end rental income of $4,500 a month or it can be used as an enormous 1 family.  Delivered vacant, both duplexes are light filled & have washers & dryers. Its prime location, condition and overall package offer an unparalleled opportunity in the market today to own this Williamsburg property.",2,5,Townhouse,,13,marvin.noyola@corciman.com,sherrya.spitzer@corciman.com
299 6th Ave,4,1155000,Sold,,1.5,3,Co-op,1140,5,lara.lopez-balboa@corciman.com,
30 BAYARD ST,6F,3100,Rented,"Remarkable 1 bed 1.5 bath Sanctuary for rent in Williamsburg's famed Aurora Building situated on right on McCarren Park. Boasting a generous open layout and plenty of closets to boot. Details include: 4 inch Brazilian Teak wood flooring; central heat and AC; Washer/dryer, Video intercom; Cable and internet ready. The kitchen is fitted with: Sub-Zero refrigerator; 30 Wolf gas range; Jenn-Air dishwasher; Grohe faucet and soap dispenser; Absolute black granite countertops and backsplash. The bathroom features: European Crystal white quartzite floors; Bianco Statuario stone white marble vanity; Italian pietra serena stone walls; sunken Zuma bathtubs; Toto one piece toilet. Building features 24 Hour doorman, common roof deck, fitness center and is a few blocks away from Bedford L. **Available for Flexible September- Oct. 1 Occupancy.",1.5,1,Condo,772,4,liora.mcmaster@corciman.com,
30 BAYARD ST,6F,3100,Rented,"Remarkable 1 bed 1.5 bath Sanctuary for rent in Williamsburg's famed Aurora Building situated on right on McCarren Park. Boasting a generous open layout and plenty of closets to boot. Details include: 4 inch Brazilian Teak wood flooring; central heat and AC; Washer/dryer, Video intercom; Cable and internet ready. The kitchen is fitted with: Sub-Zero refrigerator; 30 Wolf gas range; Jenn-Air dishwasher; Grohe faucet and soap dispenser; Absolute black granite countertops and backsplash. The bathroom features: European Crystal white quartzite floors; Bianco Statuario stone white marble vanity; Italian pietra serena stone walls; sunken Zuma bathtubs; Toto one piece toilet. Building features 24 Hour doorman, common roof deck, fitness center and is a few blocks away from Bedford L. **Available for Flexible September- Oct. 1 Occupancy.",1.5,1,Condo,772,4,nicholas.ramlochan@corciman.com,
30 EAST 76TH ST,10C,1935000,Sold,"JUST REDUCED!  No Board Approval!  Situated on the most prime Upper East Side block is this rare 2-bedroom, 1.5 bath doorman condominium, directly across from the legendary Carlyle Hotel. A charming and airy duplex condominium with open and sunny West-facing views, enjoy the best the Upper East Side can offer in a building where units rarely come on the market.  Only one block from Central Park, enjoy a tree-lined stroll through stately limestone townhouses to the lush greenery of Central Park living.  The experience of every imaginable luxury at your fingertips cannot be replicated anywhere else with as much charm and residential flavor.   Additional features include high ceilings, hardwood floors, big windows, a windowed staircase reminiscent of a townhouse, separate entrance/egress on each floor, large walk-in closet with built-ins, cedar lined hall closet, open kitchen and modern bathrooms with top-of-the-line European fixtures.   30 East 76th is a pre-war building erected in 1925 with an attended lobby and only 16 apartments.  Location is superb, proximate to several important cultural institutions as well as some of the citys most famous boutiques. Immediate subletting permitted.  Perfect for investors, pied-a-terres, or make it your home!",1.5,2,Condo,1102,4,fern.gallery@corciman.com,karen.king-brown@corciman.com
30 MONROE PL,2A,640000,Sold,"On charming, tree-lined Monroe Place, this extra-large one bedroom, one bath coop is located in a beautifully maintained Brooklyn Heights, pre-war, elevator building with just-renovated hallways and a welcoming lobby. Enter the apartment into a spacious foyer, complete with two large closets. The well-proportioned living room has plenty of space to carve out an ample dining area, while the roomy bedroom has a large walk-in closet with built-ins. The galley kitchen has solid-wood cabinetry and stainless steel appliances, including a dishwasher. Just off the kitchen is another option for a dining area, or use it instead for a home office. Beautiful light streams in through three large windows in the living area and two in the bedroom. The windowed bathroom, also renovated has a modern finishes and fixtures. High ceilings and hardwood floors complete this perfect package. The coop offers laundry in the building, caged storage and bike storage (both currently wait-listed) and a fantastic roof deck with fabulous views. Surrounded by great neighborhood amenities, the location is wonderful, with easy access to the 2/3 a block away at Clark Street, the R at Court Street, and the 4, 5 at Borough Hall. Cats welcome. Sorry no dogs.",1,1,Co-op,,3,leightonc.martov@corciman.com,
300 ALBANY ST,5N,540000,Sold,"Just Listed. This beautifully renovated one bedroom, one bathroom condominium with a charming terrace is a must see. This generously sized one bedroom home features a well-proportioned living room with dining area, a 100 Sq ft balcony, large custom closets, hardwood floors, an updated open kitchen with Quartz counter-top and 'GE' appliances. This property is located in the Hudson View West Condominium. Hudson View West is a pet friendly condominium featuring a 24 hr doorman, washer/dryer on the same floor, and a new fitness Center. Call today for a private showing.",1,1,Condo,647,3,paul.safford@corciman.com,
300 Central Park West,5J,3850000,Sold,"Meticulously renovated and gracious ""Classic Six"" in the legendary 1931 Emory Roth Art Deco landmark, The El Dorado, on Central Park West. This exceptional turnkey apartment features a dramatic over sized living room with a wood burning fireplace and a formal dining room for large gatherings. Two over sized bedrooms with walk-in closets are private, each with its own luxurious new bathroom. The professional gourmet windowed kitchen offers top of the line appliances, ample counter space including a breakfast counter and separate butler's pantry. The large staff room can function as a proper bedroom with its own full bath or as a home office and laundry room as it is currently set up. The home is complete with through the wall air conditioning, architectural lighting and custom cabinetry and woodwork. This special apartment retains extraordinary original detail such as herringbone and basket-weave patterned oak flooring. The El Dorado features a brand new gym, private garage, large staff and exceptional service, high security, access to the Central Park reservoir and is one of the best run buildings on Central Park West. There is an assessment in place until 12/31/2027 for building wide window replacements in the amount of $163.88/month in addition to the monthly maintenance.",2,2,Co-op,,6,katherines.kovacevic@corciman.com,
300 East 62nd St,704,845000,Sold,"This one bedroom condo with large balcony is in excellent move-in condition. Featuring a large living room with separate dining area, northern and eastern exposures, renovated bathroom and a pass-through kitchen, this home is truly warm and inviting. The spacious bedroom receives excellent morning sunlight from its eastern exposure and the renovated bathroom features marble tile and countertops. This home makes for an excellent primary residence, pied-a-terre, or investment. The Paladin has a full-time doorman, bicycle room, storage room and in-house laundry. Convenient access to transportation, restaurants, shopping, and movie theaters. Pets are welcome.",1,1,Condo,820,3,celeste.chiang@corciman.com,holly.grosso@corciman.com
300 WEST 109TH ST,5J,695000,Sold,"This sprawling prewar one bedroom, one bath apartment with renovated kitchen, beautiful hardwood floors throughout, 9'2"" ceilings, and stunning custom woodwork is in excellent move-in condition. The entry foyer and gallery lead to an oversized, 19'5"" x 17'6"" living and dining room with bay window that allows for gracious New York living.  The large windowed kitchen features custom maple cabinetry, stainless steel appliances, and a breakfast bar. The serene, king sized bedroom has a lovely treetop view and four large closets including three walk-ins. The windowed bathroom with black and white subway tile  is in excellent condition.  A washer/dryer can be installed in the hallway closet with board approval.  The Manhasset is a red-brick, 11-story cooperative apartment building that was designed as an 8-story building with a cornice in 1899 by Joseph Wolf and two years later was enlarged three stories with a mansard roof designed by Janes & Leo. The building has 10-foot-high ceilings, base moldings, window well moldings, arched entryways and bay windows. The building was restored in 2001 with a new elevator and an impressive large lobby and a video intercom system.  The Manhasset is a spectacular landmark building with a live-in Super, video intercom, laundry room, bike room and proximity to Riverside Park, Central Park, Columbia University and transportation. This building is pet friendly.",1,1,Co-op,850,3,dennisr.ferris@corciman.com,john.kann@corciman.com
301 CATHEDRAL PKWY,4V,525000,Sold,"Amazing opportunity to live on Central Park!!! This beautifully renovated, one bedroom boasts American walnut floors, a chef's kitchen with a Bertazzoni range, honed granite counter top, double sink and ample cabinet storage. Three generous custom closets. A spacious bedroom with park views from both the living room and bedroom. Towers On the Park is a full-service condominium with a full-time doorman/concierge, live-in superintendent, bike storage, private storage and a building garage. Towers on the Park is conveniently located across the street from Central Park, Morningside Park, nearby is Columbia University, St. John The Divine and many great neighborhood restaurants and is steps to the subway and bus transportation. Super LOW common charges and real estate taxes. Leasing is allowed after one year of home ownership. Sorry, no dogs. Cats allowed. Broker/Owner",1,1,Condo,589,3,merele.pashby@corciman.com,
301 East 64th St,17A,765000,Active,"Brand new to the market this oversized one bedroom home is not to be missed. Sunny and bright this apartment has both south and west exposures and is in excellent condition.  Spacious living room with extra dining foyer or separate home office space. Generous closets including a custom walk in closet in the bedroom. Beautiful wood parquet floors and crown molding throughout.  The bathroom is renovated and has a Hansgrohe bathtub shower system with 6 adjustable body sprays and electric towel warmer heating system. Windowed kitchen with Bertazzoni range, Blumberg refrigerator and dishwasher and granite counter-tops. The Regency East Apartments a luxury coop with a 24 hour doorman, central laundry room and a garage. The Regency East allows a Pied-A-Terre, gifting, co-purchasing and subletting after two years of ownership. Pet friendly.",1,1,Co-op,,3,roseann.shenker@corciman.com,
301 Evergreen Ave,,1195000,Perm Off Mkt,"From its faade to its foundation, 301 Evergreen Avenue is a testament to the pre-war charm and modernity of Bushwick infrastructure and the lively energy of the neighborhood's nightlife. This cozy 2 family town home not only comes fully equipped with brand new plumbing, and electrical, but boasts a newly renovated interior with custom moldings, exposed wood beams, soaring 12 foot ceilings, beautiful herringbone floors, and recessed lighting throughout. Beyond its brilliant blue exterior, accented with white window casings and finished wood door with moldings, is an owners duplex featuring an airy living area with fireplace, an accommodating, eat-in kitchen, featuring stainless steel appliances and dishwasher, a large center island with sink and gleaming thick marble counter tops, and pristine white shaker kitchen cabinets, adorned with an abundance of natural light from large exposures. In the rear of the parlor floor, find a full bathroom and queen sized bedroom as well as a king sized master bedroom with en-suite bathroom and direct access to a spacious deck overlooking the garden.  301 Evergreen Avenue also presents an ideal living arrangement for future occupants alike. Receive a great return on your investment with a newly renovated 2-bedroom apartment with additional sky light office space, an open airy living area, new kitchen and bathroom, recessed lighting, custom moldings, and hardwood floors throughout.",0,0,Townhouse,0,,paull.sagan@corciman.com,
301 WEST 53RD ST,19A,5999,Rented,"AVAILABLE IMMEDIATELY. Spectacular high-floor West facing views from a 2/3 bedroom ,2 bath home  located at 301 West 53rd Street,situated in the heart of one of Manhattans most vibrant communities, Hells Kitchen, a neighborhood steeped in art and culture. (Convertible 3BR) This brand new spacious unit a brilliant layout and finishes by BP Architects and design firm, ASH NYC. The open-concept living space features 5-inch oak flooring, Bosch washer/dryer, western exposures, as well as air conditioning units in each room. The full-size kitchen is outfitted with gleaming white Quartz countertops, white lacquer cabinetry, a Bertazzoni gas range, Bosch panelized refrigerator and dishwasher, and stainless steel microwave. The primary bathroom is designed with scratch-resistant white marble floors and Kohler bathroom sets. The second bathroom features a custom vanity, and a slate-gray marble accent wall.  The 25-story full-service condominium offers luxurious lifestyle for those who want to experience the center of the world  blocks from the finest high-end shopping, dining, entertainment, and world-renowned attractions including Central Park, MoMA, Columbus Circle. And Rockefeller Center, every imaginable need is at your fingertips.  Offering three levels of well-appointed amenity spaces including a large windowed fitness center, furnished roof terrace, heavy duty laundry room, 24-hour concierge, Cold storage for fresh deliveries,  bike storage, and on-site valet.",2,3,Condo,1100,4,henze.gould@corciman.com,larry.maasarani@corciman.com
302 Convent Ave,65,450000,Active,"NO MORE SHOWINGS OR OFFERS...Paradise off Convent -- stunning top floor (6th) 2 Bedroom/1 Bath corner apartment in an HDFC co-op in the Hamilton Heights Historic District. Totally rebuilt and renovated only six years ago, down to the floor joists and up to the rafters -- all new everything! Panoramic southern views from the 26-foot long great room"", originally separated. This spacious home features beautiful light-wood floors throughout, original glass-paned French doors and capacious closets. The gallery entrance has 32-feet of exposed brick welcoming you to a generous foyer, centering the home.This special home is move-in ready, with high ceilings, loft-like feel, and pre-war solidity.  The new kitchen has an abundance of cabinets and spacious granite counters. The large bathroom, granite and tiled, has a deep soaking tub to luxuriate in after a stressful day. There are 9 oversized and energy efficient windows providing bright light all day long.  302 Convent Avenue, designed by Schwartz & Gross, is truly one of Uptowns best managed and well maintained co-ops, and apartments rarely become available. All major building systems have been upgraded. From its impressive limestone exterior to the restored marble and mosaics lobby, each and every public space repeats the theme  a bygone period revived for contemporary living. The resident Superintendent, laundry and welcoming neighbors all add up to this residence being an exceptional place to call home. Just bring your toothbrush and Fido -- pets welcome!Alexander Hamilton's former country estate, originally on the site of 302 Convent, retains its bucolic appeal as an exquisite and essential enclave in a culturally-diverse community, with nearby CUNYs City College, Harlem School of Arts, Dance Theater of Harlem, Hamilton Grange Museum, and convenient shopping and restaurants. Close to A, B, C, D, & #1 trains (145 St.) and garage parking around the corner.Gross Income restricted to 165% of 2018 AMI: (1) $120,615 (2) $137,775 (3) $154,935 (4) $172,095",1,2,Co-op,,4,jonathon.kellert@corciman.com,dalia.danielov@corciman.com
304 GARFIELD PL,4R,1800,Active,"Stunning Junior 1 Bed IN NORTH SLOPE!!!! Best deal!! Very cute apartment with efficiency open new kitchen and nice bathroom. offers sun light and quiet. Steps from Prospect park and the 2/3/B/Q trains. Available May 1st Apartment Features: Prewar detail, Floors - hardwood, Light - excellent, Renovated bathroom Building Features:",1,1,Condo,,2,paul.saez-fromm@corciman.com,
305-313 West 22nd St,1A,1795000,Sold,"Two Bedroom Condo in the Heart of Chelsea! This mint, loft-like 2-bedroom, 2-bathroom home of approx.1,000 s/f boasts a generous open layout and a pristine modern renovation! Open and airy with 114 ceilings this beautiful second floor apartment features oversized windows that provide great light as well as a private balcony off the living room that enjoys tranquil garden views. The oversized living area provides ample room for dining and the open kitchen features stainless steel appliances. The master bedroom includes two large closets and an en suite marble bath.  A second bedroom and full marble bath, beautiful bamboo floors throughout and a washer/dryer complete this wonderful home. There is also a private storage unit included with the sale.",2,2,Condo,1000,4,rajan.samuel@corciman.com,
306 WEST 4TH ST,E1,901550,Sold,"In the heart of the West Village at West 4th and Bank is this beautiful and gracious Pre-War One Bedroom with 3 exposures. Oozing style and charm with its oversized living room, windowed kitchen and bath, and decorative fireplace, you will feel at home the moment you arrive. European feel in the heart of the West Village. Four flights up and worth it! Please note that pieds-a-terre, guarantors, and pets are not allowed. Don't miss this West Village opportunity; it's truly special.First open house on Sunday, January 12th.",1,1,Co-op,,3,elyseb.fromm@corciman.com,
306 WEST 4TH ST,E1,901550,Sold,"In the heart of the West Village at West 4th and Bank is this beautiful and gracious Pre-War One Bedroom with 3 exposures. Oozing style and charm with its oversized living room, windowed kitchen and bath, and decorative fireplace, you will feel at home the moment you arrive. European feel in the heart of the West Village. Four flights up and worth it! Please note that pieds-a-terre, guarantors, and pets are not allowed. Don't miss this West Village opportunity; it's truly special.First open house on Sunday, January 12th.",1,1,Co-op,,3,jillk.jour@corciman.com,
